ITEM_ID,ITEM_CLASS_NM,LOCATION_ID
1999-244-745,UPI_DIE_PREP,D1C
1999-244-746,UPI_DIE_PREP,F24
1999-244-747,UPI_DIE_PREP,D1D
1999-244-748,UPI_DIE_PREP,F12
1999-246-687,UPI_SORT,F28
1999-246-687,UPI_SORT,F32
1999-246-910,UPI_DIE_PREP,D1C
1999-246-911,UPI_DIE_PREP,F24
1999-246-912,UPI_DIE_PREP,D1D
1999-246-913,UPI_DIE_PREP,F12
1999-246-914,UPI_DIE_PREP,F28
1999-249-802,UPI_SORT,F32
1999-249-802,UPI_SORT,D1C
1999-249-802,UPI_SORT,F21
1999-249-802,UPI_SORT,F24
1999-249-802,UPI_SORT,D1D
1999-249-802,UPI_SORT,F12
1999-249-805,UPI_DIE_PREP,F28
1999-249-806,UPI_DIE_PREP,F32
1999-249-807,UPI_DIE_PREP,F24
1999-249-808,UPI_DIE_PREP,F28
1999-249-809,UPI_DIE_PREP,F24
1999-249-836,UPI_SORT,D1D
1999-249-837,UPI_DIE_PREP,F12
1999-249-838,UPI_DIE_PREP,F32
1999-249-839,UPI_DIE_PREP,FAC
1999-249-840,UPI_DIE_PREP,D1C
1999-256-006,UPI_SORT,F21
1999-256-006,UPI_SORT,F24
1999-256-006,UPI_SORT,D1D
1999-256-006,UPI_SORT,F12
1999-256-006,UPI_SORT,F28
1999-256-220,UPI_DIE_PREP,F32
1999-256-221,UPI_DIE_PREP,FAL
1999-256-222,UPI_DIE_PREP,D1C
1999-256-223,UPI_DIE_PREP,F24
1999-256-224,UPI_DIE_PREP,D1D
1999-257-405,UPI_SORT,F12
1999-257-405,UPI_SORT,F28
1999-257-405,UPI_SORT,F32
1999-257-405,UPI_SORT,D1C
1999-257-405,UPI_SORT,F24
1999-257-405,UPI_SORT,D1D
1999-257-406,UPI_DIE_PREP,F12
1999-257-407,UPI_DIE_PREP,F28
1999-257-408,UPI_DIE_PREP,F32
1999-257-409,UPI_DIE_PREP,BAC
1999-257-410,UPI_DIE_PREP,BTW
1999-267-632,UPI_SORT,F24
1999-267-632,UPI_SORT,D1D
1999-267-632,UPI_SORT,F12
1999-267-632,UPI_SORT,F32
1999-267-632,UPI_SORT,F24
1999-267-632,UPI_SORT,D1D
1999-267-633,UPI_DIE_PREP,F12
1999-267-634,UPI_DIE_PREP,F28
1999-267-635,UPI_DIE_PREP,F32
1999-267-636,UPI_DIE_PREP,D1D
1999-267-637,UPI_DIE_PREP,F12
1999-267-672,UPI_SORT,F32
1999-267-678,UPI_DIE_PREP,FAC
1999-267-679,UPI_DIE_PREP,FAL
1999-267-680,UPI_DIE_PREP,F21
1999-267-695,UPI_SORT,D1C
1999-267-695,UPI_SORT,F24
1999-267-695,UPI_SORT,D1D
1999-267-695,UPI_SORT,F12
1999-267-695,UPI_SORT,F28
1999-267-695,UPI_SORT,F32
1999-267-696,UPI_DIE_PREP,D1C
1999-267-697,UPI_DIE_PREP,F24
1999-267-698,UPI_DIE_PREP,D1D
1999-267-699,UPI_DIE_PREP,F12
1999-267-700,UPI_DIE_PREP,F28
1999-276-300,UPI_SORT,F32
1999-276-300,UPI_SORT,F24
1999-276-300,UPI_SORT,F12
1999-276-301,UPI_DIE_PREP,F32
1999-276-304,UPI_SORT,D1D
1999-276-304,UPI_SORT,F12
1999-276-304,UPI_SORT,F32
1999-276-305,UPI_DIE_PREP,F24
1999-276-307,UPI_SORT,D1D
1999-276-307,UPI_SORT,F12
1999-276-307,UPI_SORT,F28
1999-276-307,UPI_SORT,F32
1999-276-309,UPI_SORT,D1C
1999-276-309,UPI_SORT,F24
1999-276-309,UPI_SORT,D1D
1999-276-309,UPI_SORT,F12
1999-276-443,UPI_DIE_PREP,F28
1999-276-444,UPI_DIE_PREP,F32
1999-276-445,UPI_DIE_PREP,FAC
1999-276-461,UPI_DIE_PREP,D1C
1999-276-462,UPI_DIE_PREP,F24
1999-276-463,UPI_DIE_PREP,D1D
1999-276-735,UPI_DIE_PREP,F12
1999-276-736,UPI_DIE_PREP,F28
1999-276-737,UPI_DIE_PREP,F32
1999-276-738,UPI_DIE_PREP,FAC
1999-276-739,UPI_DIE_PREP,D1C
1999-276-740,UPI_DIE_PREP,F24
1999-276-741,UPI_DIE_PREP,D1D
1999-276-742,UPI_DIE_PREP,F12
1999-287-022,UPI_DIE_PREP,F28
1999-287-041,UPI_DIE_PREP,F32
1999-289-378,UPI_SORT,D1C
1999-289-378,UPI_SORT,F24
1999-289-378,UPI_SORT,D1D
1999-289-378,UPI_SORT,F12
1999-289-378,UPI_SORT,F28
1999-289-378,UPI_SORT,F32
1999-290-061,UPI_DIE_PREP,D1C
1999-290-062,UPI_DIE_PREP,F21
1999-290-063,UPI_DIE_PREP,F24
1999-290-064,UPI_DIE_PREP,D1D
1999-290-065,UPI_DIE_PREP,F12
1999-290-905,UPI_DIE_PREP,F28
1999-291-376,UPI_DIE_PREP,F32
1999-291-378,UPI_DIE_PREP,F24
1999-291-379,UPI_DIE_PREP,F28
1999-291-380,UPI_DIE_PREP,F24
1999-291-381,UPI_SORT,D1D
1999-291-381,UPI_SORT,F12
1999-291-381,UPI_SORT,F32
1999-291-381,UPI_SORT,FAC
1999-291-381,UPI_SORT,D1C
1999-291-381,UPI_SORT,F21
1999-294-548,UPI_SORT,F24
1999-294-548,UPI_SORT,D1D
1999-294-549,UPI_DIE_PREP,F12
1999-294-550,UPI_DIE_PREP,F28
1999-294-551,UPI_DIE_PREP,F32
